1,2,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1
2,2,A series of escapades demonstrating the adage that what is good for the goose,1
15,2,adage,0
28,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1
52,1,of which amounts to much of a story,0
59,2,much,0
62,2,story,0
69,2,quiet,0
80,3,worth,0
96,2,", I suspect ,",0
99,2,I,0
100,2,suspect,0
109,2,hard,0
117,2,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",1
119,4,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder",1
125,2,combination,0
132,2,"the intrigue , betrayal , deceit and murder",0
133,2,"intrigue , betrayal , deceit and murder",0
145,2,a Shakespearean tragedy or,0
147,2,Shakespearean tragedy,0
153,3,juicy,0
156,2,opera,0
164,1,manipulative whitewash,0
170,2,comedy-drama,0
174,2,nearly,0
186,2,performance,0
189,2,the title character undergoing midlife crisis,0
203,2,Trouble Every Day,0
205,2,Every Day,0
206,2,Every,0
211,1,plodding mess,0
220,2,"Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",1
225,2,thick with wit it plays like a reading from Bartlett 's Familiar Quotations,1
237,2,a reading from Bartlett 's Familiar Quotations,1
243,2,Bartlett 's,0
245,2,Familiar Quotations,0
263,2,could,0
267,2,for the same reason,0
273,2,There,0
278,1,little to recommend Snow Dogs,0
284,2,Snow,0
298,2,perverse,0
301,2,a source,0
333,2,martial-arts flick,0
335,2,flick,0
339,2,sometimes the dreams of youth should remain just that,1
341,2,the dreams of youth should remain just that,0
344,2,dreams,0
349,1,remain just that,0
351,2,just that,0
352,2,just,0
353,4,The performances are an absolute joy .,0
356,1,are an absolute joy .,0
359,4,an absolute joy,0
372,2,serious,0
376,3,about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,1
379,2,the ways,0
380,2,ways,0
389,3,distort our perspective and throw us off the path of good sense,1
391,2,distort our perspective,0
413,2,"Moonlight Mile , better judgment be damned",0
418,2,", better judgment",0
424,3,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",1
425,2,A welcome relief from baseball movies that try too hard to be mythic,1
427,3,welcome relief,0
436,1,try too hard to be mythic,0
438,1,too hard to be mythic,0
452,3,sweet and,0
453,3,sweet,0
458,3,winning,0
459,3,"a bilingual charmer , just like the woman who inspired it",1
460,3,"a bilingual charmer ,",0
461,3,a bilingual charmer,0
467,2,the woman who inspired it,0
471,2,who,0
